,orig_nodes,orig_params,simpl_nodes,simpl_params,orig_nodes_sympy,orig_params_sympy,simpl_nodes_sympy,simpl_params_sympy,algorithm,n_params,n_rank
63,142.0,38.0,112.0,27.0,122.0,29.0,110.0,27.0,FEAT,38.0,21.0
64,269.0,75.0,231.0,56.0,227.0,56.0,217.0,55.0,FEAT,75.0,43.0
65,191.0,52.0,163.0,38.0,163.0,38.0,157.0,38.0,FEAT,52.0,32.0
66,191.0,53.0,157.0,39.0,165.0,41.0,154.0,39.0,FEAT,53.0,29.0
67,241.0,65.0,203.0,47.0,205.0,47.0,191.0,46.0,FEAT,65.0,38.0
68,202.0,56.0,174.0,42.0,176.0,43.0,168.0,42.0,FEAT,56.0,32.0
69,223.0,61.0,183.0,45.0,187.0,47.0,181.0,45.0,FEAT,61.0,33.0
70,357.0,103.0,275.0,67.0,285.0,70.0,267.0,66.0,FEAT,103.0,52.0
71,154.0,42.0,136.0,33.0,136.0,33.0,132.0,33.0,FEAT,42.0,24.0
72,134.0,37.0,130.0,35.0,130.0,35.0,128.0,35.0,FEAT,37.0,24.0
73,184.0,50.0,159.0,40.0,172.0,44.0,166.0,42.0,FEAT,50.0,31.0
74,416.0,124.0,281.0,69.0,273.0,67.0,266.0,66.0,FEAT,124.0,42.0
75,129.0,35.0,113.0,28.0,111.0,28.0,106.0,27.0,FEAT,35.0,18.0
76,174.0,50.0,114.0,28.0,118.0,30.0,101.0,26.0,FEAT,50.0,22.0
77,160.0,44.0,146.0,37.0,146.0,37.0,143.0,37.0,FEAT,44.0,27.0
78,196.0,58.0,104.0,23.0,112.0,27.0,92.0,21.0,FEAT,72.0,1.0
79,151.0,42.0,129.0,31.0,125.0,31.0,117.0,30.0,FEAT,42.0,22.0
80,125.0,35.0,107.0,28.0,111.0,28.0,104.0,28.0,FEAT,35.0,18.0
81,168.0,47.0,158.0,42.0,160.0,43.0,157.0,42.0,FEAT,47.0,30.0
82,155.0,45.0,117.0,31.0,125.0,33.0,115.0,31.0,FEAT,45.0,21.0
83,170.0,46.0,152.0,37.0,152.0,37.0,150.0,37.0,FEAT,46.0,28.0
84,138.0,39.0,122.0,32.0,126.0,34.0,120.0,32.0,FEAT,39.0,23.0
85,179.0,47.0,167.0,41.0,169.0,42.0,165.0,41.0,FEAT,52.0,1.0
86,133.0,37.0,105.0,25.0,105.0,25.0,95.0,24.0,FEAT,37.0,16.0
87,186.0,52.0,142.0,34.0,132.0,31.0,127.0,31.0,FEAT,52.0,24.0
88,165.0,48.0,135.0,35.0,125.0,33.0,121.0,32.0,FEAT,48.0,24.0
89,131.0,37.0,113.0,29.0,131.0,37.0,113.0,29.0,FEAT,37.0,18.0
90,19.0,3.0,19.0,3.0,19.0,5.0,17.0,5.0,GOMEA,3.0,3.0
91,17.0,4.0,17.0,4.0,21.0,6.0,17.0,5.0,GOMEA,4.0,4.0
92,17.0,4.0,17.0,4.0,19.0,5.0,17.0,5.0,GOMEA,4.0,3.0
93,19.0,3.0,19.0,3.0,19.0,5.0,17.0,5.0,GOMEA,3.0,3.0
94,19.0,3.0,19.0,3.0,19.0,5.0,17.0,5.0,GOMEA,3.0,3.0
95,19.0,5.0,17.0,4.0,21.0,6.0,17.0,5.0,GOMEA,4.0,4.0
96,17.0,4.0,17.0,4.0,19.0,5.0,17.0,5.0,GOMEA,4.0,3.0
97,16.0,4.0,14.0,3.0,16.0,4.0,12.0,3.0,GOMEA,4.0,3.0
98,19.0,3.0,19.0,3.0,21.0,6.0,15.0,4.0,GOMEA,3.0,3.0
99,14.0,3.0,14.0,3.0,16.0,4.0,12.0,3.0,GOMEA,4.0,3.0
100,17.0,4.0,17.0,4.0,19.0,5.0,17.0,5.0,GOMEA,4.0,3.0
101,20.0,4.0,18.0,3.0,16.0,4.0,12.0,3.0,GOMEA,4.0,3.0
102,16.0,4.0,14.0,3.0,16.0,4.0,12.0,3.0,GOMEA,3.0,3.0
103,19.0,5.0,17.0,4.0,23.0,7.0,15.0,4.0,GOMEA,4.0,4.0
104,19.0,3.0,19.0,3.0,19.0,5.0,17.0,5.0,GOMEA,3.0,3.0
105,19.0,3.0,19.0,3.0,19.0,5.0,17.0,5.0,GOMEA,3.0,3.0
106,21.0,2.0,21.0,2.0,19.0,5.0,15.0,4.0,GOMEA,2.0,2.0
107,21.0,2.0,21.0,2.0,19.0,5.0,15.0,4.0,GOMEA,2.0,2.0
108,21.0,5.0,19.0,4.0,21.0,6.0,17.0,5.0,GOMEA,4.0,4.0
109,17.0,4.0,17.0,4.0,19.0,5.0,17.0,5.0,GOMEA,4.0,3.0
110,17.0,4.0,17.0,4.0,19.0,5.0,17.0,5.0,GOMEA,4.0,3.0
111,17.0,4.0,17.0,4.0,19.0,5.0,17.0,5.0,GOMEA,4.0,3.0
112,19.0,3.0,19.0,3.0,21.0,6.0,15.0,4.0,GOMEA,3.0,3.0
113,18.0,5.0,14.0,3.0,16.0,4.0,12.0,3.0,GOMEA,4.0,3.0
114,16.0,3.0,16.0,3.0,20.0,5.0,17.0,4.0,GOMEA,3.0,3.0
115,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,GOMEA,4.0,2.0
116,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,GOMEA,4.0,2.0
117,21.0,2.0,21.0,2.0,19.0,5.0,15.0,4.0,GOMEA,2.0,2.0
118,19.0,4.0,19.0,4.0,19.0,4.0,17.0,3.0,GOMEA,4.0,3.0
119,17.0,4.0,17.0,4.0,17.0,4.0,17.0,4.0,GOMEA,4.0,4.0
120,39.0,12.0,31.0,8.0,46.0,13.0,34.0,9.0,Operon,12.0,7.0
121,48.0,13.0,34.0,6.0,40.0,11.0,26.0,6.0,Operon,13.0,6.0
122,45.0,13.0,33.0,7.0,45.0,13.0,29.0,7.0,Operon,13.0,7.0
123,47.0,13.0,37.0,8.0,43.0,10.0,34.0,8.0,Operon,13.0,8.0
124,49.0,13.0,37.0,7.0,47.0,12.0,32.0,7.0,Operon,13.0,7.0
125,45.0,13.0,35.0,8.0,52.0,14.0,31.0,8.0,Operon,13.0,8.0
126,44.0,12.0,36.0,8.0,42.0,11.0,32.0,8.0,Operon,12.0,7.0
127,49.0,13.0,39.0,8.0,47.0,12.0,32.0,7.0,Operon,13.0,7.0
128,45.0,13.0,33.0,7.0,45.0,13.0,29.0,7.0,Operon,13.0,7.0
129,43.0,13.0,33.0,8.0,33.0,8.0,29.0,8.0,Operon,14.0,8.0
130,41.0,13.0,31.0,8.0,39.0,12.0,28.0,8.0,Operon,13.0,8.0
131,48.0,14.0,32.0,6.0,32.0,8.0,24.0,6.0,Operon,14.0,6.0
132,41.0,12.0,35.0,9.0,45.0,14.0,32.0,9.0,Operon,12.0,8.0
133,47.0,13.0,37.0,8.0,51.0,15.0,33.0,8.0,Operon,13.0,8.0
134,45.0,15.0,29.0,7.0,35.0,10.0,25.0,7.0,Operon,15.0,7.0
135,50.0,13.0,38.0,8.0,50.0,13.0,34.0,8.0,Operon,13.0,8.0
136,45.0,13.0,37.0,9.0,54.0,15.0,31.0,8.0,Operon,13.0,8.0
137,45.0,14.0,31.0,7.0,37.0,10.0,27.0,7.0,Operon,14.0,7.0
138,41.0,12.0,35.0,9.0,45.0,14.0,34.0,10.0,Operon,12.0,9.0
139,47.0,14.0,37.0,9.0,59.0,15.0,31.0,8.0,Operon,14.0,8.0
140,45.0,13.0,37.0,9.0,45.0,13.0,31.0,8.0,Operon,13.0,8.0
141,42.0,12.0,34.0,8.0,40.0,11.0,28.0,7.0,Operon,12.0,7.0
142,45.0,13.0,37.0,9.0,52.0,14.0,31.0,8.0,Operon,13.0,8.0
143,41.0,13.0,33.0,9.0,41.0,13.0,30.0,9.0,Operon,13.0,9.0
144,45.0,13.0,33.0,7.0,45.0,13.0,29.0,7.0,Operon,13.0,7.0
145,41.0,12.0,33.0,8.0,43.0,13.0,30.0,8.0,Operon,12.0,8.0
146,48.0,13.0,36.0,7.0,40.0,11.0,26.0,6.0,Operon,13.0,6.0
147,45.0,13.0,33.0,7.0,45.0,13.0,29.0,7.0,Operon,13.0,7.0
148,45.0,13.0,33.0,7.0,45.0,13.0,29.0,7.0,Operon,13.0,7.0
149,45.0,13.0,33.0,7.0,45.0,13.0,33.0,7.0,Operon,13.0,7.0
150,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,SBP,5.0,2.0
151,30.0,6.0,26.0,5.0,40.0,10.0,27.0,5.0,SBP,5.0,2.0
152,28.0,5.0,26.0,5.0,36.0,9.0,25.0,5.0,SBP,5.0,5.0
153,10.0,3.0,10.0,3.0,14.0,4.0,11.0,3.0,SBP,3.0,3.0
