dataset,raw_index,algorithm_raw,algo_row,input_kind,variant,status,runtime_ms,before_nodes,before_params,after_nodes,after_params,egraph_total_size,passes,extracted_cost,peak_rss_mb,rendered
kotanchek,27,Bingo,27,sympy,baseline,saturated,122.46924999635667,21.0,5.0,21.0,5.0,140.0,1.0,21.0,109.671875,(3.678253204741038 * x0 + 1.9305547847352778 * x1 - 0.39686078577236517) / (x0 ** 6.0 - x0 + 2.057897964881403 * x1 + 10.665734721501936)
kotanchek,28,Bingo,28,original,baseline,saturated,87.22666697576642,21.0,4.0,21.0,4.0,55.0,1.0,21.0,108.9375,(0.20913305449088818 + 0.62938832186819 * x0) * exp(2.665810272148384 * ((-12.800195782530425 + 3.0 * x0 - x1) ** (-1.0) * exp(x0)))
kotanchek,28,Bingo,28,sympy,baseline,saturated,67.7389589836821,19.0,4.0,19.0,4.0,59.0,1.0,19.0,109.015625,(0.62938832186819 * x0 + 0.20913305449088818) * exp(-2.665810272148384 * exp(x0) / (-3.0 * x0 + x1 + 12.800195782530425))
kotanchek,29,Bingo,29,original,baseline,saturated,126.34741701185703,35.0,6.0,35.0,6.0,100.0,1.0,35.0,108.546875,(1.550707023441505e-05 + 6.656270926980652e-05 * x1) * ((-52.61627831646421 + exp(x0)) * (35.56866639996601 * (x1 * (6.784280947796324 - x1) ** (-1.0)) + exp(x0) * ((-52.61627831646421 + exp(x0)) * (exp(x0) - x0) ** (-1.0))))
kotanchek,29,Bingo,29,sympy,baseline,saturated,382.179707987234,42.0,7.0,40.0,7.0,1289.0,2.0,40.0,116.09375,(-6.656270926980652e-05 * x1 - 1.550707023441505e-05) * ((x1 - 6.784280947796324) * (exp(x0) - 52.61627831646421) * exp(x0) - -35.56866639996601 * ((x0 - exp(x0)) * x1)) * (exp(x0) - 52.61627831646421) / ((x0 - exp(x0)) * (x1 - 6.784280947796324))
kotanchek,30,EPLEX,1,original,baseline,saturated,572.3614579765126,65.0,15.0,48.0,9.0,1794.0,2.0,48.0,116.84375,(log(abs(x0 * (x1 / -1.2590000000000001) / exp(x0) + 0.678)) * x0 / exp(x0) + -0.133875) * 1.101323472479368 * ((1.504 + x0) / exp(x0) / exp(x0)) * (0.6469045975637487 + (-0.51 - log(abs(x0 * (x0 / -0.79) / exp(x0) + 0.703))))
kotanchek,30,EPLEX,1,sympy,baseline,saturated,604.3220419669524,63.0,10.0,55.0,8.0,2035.0,2.0,55.0,118.65625,-1.1013234724793661 * ((log(abs((0.703 * exp(x0) - 1.26582278481013 * x0 ** 2.0) * exp(-1.0 * x0))) - 0.13690459756374923) * (x0 + 1.504) * (log(abs((-0.79428117553614 * x0 * x1 - -0.678 * exp(x0)) * exp(-1.0 * x0))) * x0 - 0.13387499999999983 * exp(x0))) * exp(-3.0 * x0)
kotanchek,31,EPLEX,2,original,baseline,saturated,128.53749992791563,56.0,4.0,56.0,4.0,163.0,1.0,56.0,109.375,0.798 / ((log(abs(x0)) ** 2.0 + (exp(x0) + x0) + (x0 + (x1 ** 2.0 - log(abs((x1 ** 2.0) ** 3.0 + 0.732)) + (x0 - x0 ** 2.0) ** 2.0 - x0) ** 2.0)) / (x1 ** 2.0 + x0) + 0.33 + log(abs(x0 + 0.127)) ** 2.0)
kotanchek,31,EPLEX,2,sympy,baseline,saturated,164.4404170801863,64.0,4.0,62.0,4.0,248.0,2.0,62.0,110.5,0.798 * (x0 + x1 ** 2.0) / (2.0 * x0 + (x0 + x1 ** 2.0) * (log(abs(x0 + 0.127)) ** 2.0 + 0.33) + (x0 - (x0 - 1.0) ** 2.0 * x0 ** 2.0 - x1 ** 2.0 + log(abs(x1 ** 6.0 + 0.732))) ** 2.0 + log(abs(x0)) ** 2.0 + exp(x0))
kotanchek,32,EPLEX,3,original,baseline,saturated,87.00366597622633,14.0,3.0,10.0,3.0,21.0,2.0,10.0,108.796875,0.414 / exp(-0.8028160000000001 * (x0 - 0.8) ** 2.0)
kotanchek,32,EPLEX,3,sympy,baseline,saturated,64.82558290008456,10.0,3.0,10.0,3.0,18.0,1.0,10.0,108.265625,0.414 * exp(0.802816 * (x0 - 0.8) ** 2.0)
kotanchek,33,EPLEX,4,original,baseline,saturated,125.24358299560845,34.0,10.0,31.0,10.0,98.0,2.0,31.0,109.953125,(0.002 + (0.192 * (-1.412 + log(abs(x0 * 0.268 - 0.20825333159665155)))) ** 2.0) * (x1 * (-0.008 + log(abs(x1 * 0.384 - 2.7155662626488777))) * 0.4 + 0.096)
kotanchek,33,EPLEX,4,sympy,baseline,saturated,152.1102909464389,33.0,10.0,31.0,9.0,153.0,2.0,31.0,109.90625,0.029398951526400003 * ((log(abs(0.384 * x1 - 2.71556626264888)) - 0.008) * x1 + 0.24) * ((0.708215297450425 * log(abs(0.268 * x0 - 0.208253331596652)) - 1.0) ** 2.0 + 0.02721185479290331)
kotanchek,34,EPLEX,5,original,baseline,saturated,176.8374169478193,34.0,5.0,30.0,5.0,59.0,2.0,30.0,109.125,exp(x0 - exp((0.23 * x1) ** 3.0 + (x0 - 0.038 - log(abs(x1))) * 0.479) - 0.245314376 - exp(-0.6951491832306184 + log(abs(x0))) ** 3.0)
