implementation,algorithm_raw,algorithm,algo_row,node_count,after_nodes,runtime_ms,peak_rss_mb,status
Archived Haskell,na,na,na,35.0,na,42.31,na,archived_benchmark
Archived Haskell,na,na,na,28.0,na,11.36,na,archived_benchmark
Live Haskell,Operon,Operon,1.0,39.0,31.0,60.322,380.078125,saturated
Live Haskell,Operon,Operon,2.0,48.0,34.0,242.90900000000002,363.828125,saturated
Live Haskell,Operon,Operon,3.0,45.0,33.0,1388.733,363.90625,saturated
Live Haskell,Operon,Operon,4.0,47.0,37.0,379.45,363.90625,saturated
Live Haskell,Operon,Operon,5.0,49.0,37.0,288.569,363.796875,saturated
Live Haskell,Operon,Operon,6.0,45.0,35.0,1566.57,381.03125,saturated
Live Haskell,Operon,Operon,7.0,44.0,36.0,45.323,379.953125,saturated
Live Haskell,Operon,Operon,8.0,49.0,39.0,81.485,380.015625,saturated
Live Haskell,Operon,Operon,9.0,45.0,33.0,1265.782,363.859375,saturated
Live Haskell,Operon,Operon,10.0,43.0,33.0,353.929,363.734375,saturated
Live Haskell,Operon,Operon,11.0,41.0,31.0,3174.6150000000002,380.8125,saturated
Live Haskell,Operon,Operon,12.0,48.0,32.0,1809.982,363.984375,saturated
Live Haskell,Operon,Operon,13.0,41.0,35.0,57.527,345.984375,saturated
Live Haskell,Operon,Operon,14.0,47.0,37.0,149.40300000000002,363.765625,saturated
Live Haskell,Operon,Operon,15.0,45.0,29.0,706.172,363.90625,saturated
Live Haskell,Operon,Operon,16.0,50.0,38.0,420.435,363.8125,saturated
Live Haskell,Operon,Operon,17.0,45.0,37.0,1100.707,363.78125,saturated
Live Haskell,Operon,Operon,18.0,45.0,31.0,1798.816,363.828125,saturated
Live Haskell,Operon,Operon,19.0,41.0,35.0,64.702,346.078125,saturated
Live Haskell,Operon,Operon,20.0,47.0,37.0,1350.832,364.015625,saturated
Live Haskell,Operon,Operon,21.0,45.0,37.0,3137.2819999999997,363.8125,saturated
Live Haskell,Operon,Operon,22.0,42.0,34.0,105.787,345.984375,saturated
Live Haskell,Operon,Operon,23.0,45.0,37.0,197.46,363.84375,saturated
Live Haskell,Operon,Operon,24.0,41.0,33.0,346.477,363.8125,saturated
Live Haskell,Operon,Operon,25.0,45.0,33.0,1067.414,380.765625,saturated
Live Haskell,Operon,Operon,26.0,41.0,33.0,4399.322,364.015625,saturated
Live Haskell,Operon,Operon,27.0,48.0,36.0,235.08100000000002,363.796875,saturated
Live Haskell,Operon,Operon,28.0,45.0,33.0,851.497,363.8125,saturated
