dataset,raw_index,algorithm_raw,algo_row,input_kind,algorithm,n_rank,source_orig_parsed_expr,source_orig_parsed_n_params,source_before_nodes,before_status,before_after_params,before_rank_gap,before_parsed_rank_gap,before_parsed_after_params,before_runtime_ms,before_peak_rss_mb,before_passes,before_egraph_total_size,before_rendered,after_status,after_after_params,after_rank_gap,after_parsed_rank_gap,after_parsed_after_params,after_runtime_ms,after_peak_rss_mb,after_passes,after_egraph_total_size,after_rendered,agent_status,conclusion_kind,new_rule_family,proposed_rule,proof_summary,remaining_gap_notes,longer_probe_status,longer_probe_after_params,longer_probe_rank_gap,longer_probe_improved,longer_probe_reached_rank,longer_probe_runtime_ms,longer_probe_peak_rss_mb,before_rank_miss,after_rank_miss,param_delta,rank_gap_delta,missing_rank,execution_issue,fixed_by_extra_rules,still_missed,newly_missed,under_rank,regressed_params,outcome,remaining_issue
pagie,22,Bingo,22,original,Bingo,4.0,0.3407158075111429 * log(abs(0.39963452583999787 + 0.07297318016992407 * (x0 * (x1 * (401.296952200405 + x0 + 2.0 * x1 - (exp(x0) + exp(x1)))) - x0))),4.0,27.0,saturated,4.0,0.0,0.0,4.0,38.10591599904001,109.6875,1.0,72.0,0.3407158075111429 * log(abs(0.39963452583999787 + 0.07297318016992407 * (x0 * (x1 * (401.296952200405 + x0 + 2.0 * x1 - (exp(x0) + exp(x1)))) - x0))),saturated,4.0,0.0,0.0,4.0,65.31466598971747,111.375,1.0,97.0,0.3407158075111429 * log(abs(0.39963452583999787 + 0.07297318016992407 * (x0 * (x1 * (401.296952200405 + x0 + 2.0 * x1 - (exp(x0) + exp(x1)))) - x0))),na,na,na,na,na,na,na,na,na,na,na,na,na,False,False,0.0,0.0,False,False,False,False,False,False,False,unchanged_ranked,na
kotanchek,156,SBP,7,original,SBP,4.0,-14.02687 + 14.029048 * exp(exp(x0 + (x0 + x0 - (exp(exp(exp(-0.884 - x1 * x1))) + x0)) - 1.493 - x0 * x0)),4.0,28.0,saturated,4.0,0.0,0.0,4.0,59.47766700410284,108.96875,2.0,47.0,-14.02687 + 14.029048 * exp(exp(x0 + (x0 + x0 - exp(exp(exp(-0.884 - x1 * x1))) - x0) + -1.493 - x0 * x0)),saturated,4.0,0.0,0.0,4.0,71.76612500916235,110.421875,2.0,52.0,-14.02687 + 14.029048 * exp(exp(x0 + (x0 + x0 - exp(exp(exp(-0.884 - x1 * x1))) - x0) + -1.493 - x0 * x0)),na,na,na,na,na,na,na,na,na,na,na,na,na,False,False,0.0,0.0,False,False,False,False,False,False,False,unchanged_ranked,na
kotanchek,156,SBP,7,sympy,SBP,4.0,14.029048 * exp(0.224697550736354 * exp(-1.0 * x0 ** 2.0 + 2.0 * x0 - exp(exp(0.413127093878218 * exp(-1.0 * x1 ** 2.0))))) - 14.02687,4.0,28.0,saturated,4.0,0.0,0.0,4.0,97.6083749847021,109.5,2.0,53.0,14.029048 * exp(0.224697550736354 * exp(2.0 * x0 - x0 ** 2.0 - exp(exp(0.413127093878218 * exp(-1.0 * x1 ** 2.0))))) - 14.02687,saturated,4.0,0.0,0.0,4.0,147.9212499980349,113.53125,2.0,53.0,14.029048 * exp(0.224697550736354 * exp(2.0 * x0 - x0 ** 2.0 - exp(exp(0.413127093878218 * exp(-1.0 * x1 ** 2.0))))) - 14.02687,na,na,na,na,na,na,na,na,na,na,na,na,na,False,False,0.0,0.0,False,False,False,False,False,False,False,unchanged_ranked,na
pagie,56,EPLEX,27,sympy,EPLEX,4.0,exp(-0.752906976744186 / (x1 ** 2.0 * (x1 - 0.7363866194561 * exp(x1)) ** 2.0)) + 1.04384133611691 * exp(-0.703565342734522 / x0 ** 2.0),4.0,28.0,saturated,4.0,0.0,0.0,4.0,54.04425002052449,108.53125,2.0,32.0,exp(-0.752906976744186 / (x1 ** 2.0 * (x1 + -0.7363866194561 * exp(x1)) ** 2.0)) + 1.04384133611691 * exp(-0.703565342734522 / x0 ** 2.0),saturated,4.0,0.0,0.0,4.0,77.1706250088755,99.875,2.0,42.0,exp(-0.752906976744186 / (x1 ** 2.0 * (x1 + -0.7363866194561 * exp(x1)) ** 2.0)) + 1.04384133611691 * exp(-0.703565342734522 / x0 ** 2.0),na,na,na,na,na,na,na,na,na,na,na,na,na,False,False,0.0,0.0,False,False,False,False,False,False,False,unchanged_ranked,na
kotanchek,4,Bingo,4,original,Bingo,5.0,-0.03144312866911644 * (-3.0969157782045578 + -31.196859437348742 * (-0.044758903858526766 * x0 + x0 * x0 * exp(x0 * x0) ** (-1.0)) - x1),4.0,28.0,saturated,4.0,-1.0,-1.0,4.0,49.86720799934119,109.125,2.0,45.0,-0.03144312866911644 * (-3.0969157782045578 + -31.196859437348742 * (x0 * (-0.044758903858526766 + exp(x0 * x0) ** (-1.0) * x0)) - x1),saturated,4.0,-1.0,-1.0,4.0,70.78237499808893,110.453125,2.0,45.0,-0.03144312866911644 * (-3.0969157782045578 + -31.196859437348742 * (x0 * (-0.044758903858526766 + exp(x0 * x0) ** (-1.0) * x0)) - x1),na,na,na,na,na,na,na,na,na,na,na,na,na,False,False,0.0,0.0,False,False,False,False,False,True,False,under_rank,na
kotanchek,7,Bingo,7,sympy,Bingo,5.0,0.02373272556048897 * x1 + 0.31519150907418003 * (x0 - 3.536500867539311) / ((x0 - log(x0)) * (exp(-0.8913829801942106 / x1) - exp(x0) / x0)),4.0,28.0,saturated,4.0,-1.0,-1.0,4.0,49.52237498946488,108.8125,2.0,60.0,0.02373272556048897 * x1 + 0.31519150907418003 * (x0 + -3.536500867539311) / ((x0 - log(x0)) * (exp(-0.8913829801942106 / x1) - exp(x0) / x0)),saturated,4.0,-1.0,-1.0,4.0,80.73508300003596,106.078125,2.0,128.0,0.02373272556048897 * x1 + 0.31519150907418003 * (x0 + -3.536500867539311) / ((x0 - log(x0)) * (exp(-0.8913829801942106 / x1) - exp(x0) / x0)),na,na,na,na,na,na,na,na,na,na,na,na,na,False,False,0.0,0.0,False,False,False,False,False,True,False,under_rank,na
kotanchek,116,GOMEA,27,original,GP-GOMEA,3.0,0.0132 - 0.015123 * (-5.053 * x1 * (5.158 - x1) * (exp(x0) * (x1 * x1)) * exp(x0 - x1 - x0 * x0)),4.0,29.0,saturated,3.0,0.0,0.0,3.0,182.84362499252893,116.1875,2.0,765.0,0.0132 - -0.076416519 * x1 * (5.158 - x1) * (exp(x0) * (x1 * x1)) * exp(x0 - x1 - x0 * x0),saturated,3.0,0.0,0.0,3.0,211.03737500379793,116.171875,2.0,393.0,0.0132 - -0.076416519 * x1 * (5.158 - x1) * (exp(x0 - x1 - x0 * x0 + x0) * (x1 * x1)),na,na,na,na,na,na,na,na,na,na,na,na,na,False,False,0.0,0.0,False,False,False,False,False,False,False,unchanged_ranked,na
kotanchek,99,GOMEA,10,original,GP-GOMEA,4.0,0.001573 - 0.008457 * (exp(x0 + x0 - x0 * x0) * (x1 - x0 - (2.4 + x1) + (exp(x1) + -15.584 * x1))),4.0,29.0,saturated,4.0,0.0,0.0,4.0,47.335958981420845,109.25,1.0,132.0,0.001573 - 0.008457 * (exp(x0 + x0 - x0 * x0) * (x1 - x0 - (2.4 + x1) + (exp(x1) + -15.584 * x1))),saturated,4.0,0.0,0.0,4.0,80.48895798856393,112.28125,1.0,358.0,0.001573 - 0.008457 * (exp(x0 + x0 - x0 * x0) * (x1 - x0 - (2.4 + x1) + (exp(x1) + -15.584 * x1))),na,na,na,na,na,na,na,na,na,na,na,na,na,False,False,0.0,0.0,False,False,False,False,False,False,False,unchanged_ranked,na
pagie,157,SBP,8,original,SBP,3.0,0.230781 + 0.006661 * (x1 * x1 * (x0 - x1) - (x0 * x0 - (19.67 + x0) + 4.294) * (x1 + x0 - x0 * x0)),4.0,29.0,saturated,3.0,0.0,0.0,3.0,61.77929099067114,109.65625,2.0,39.0,0.230781 + 0.006661 * (x1 * x1 * (x0 - x1) - (-15.376000000000001 + (x0 * x0 - x0)) * (x1 + x0 - x0 * x0)),saturated,3.0,0.0,0.0,3.0,71.03887500124983,110.5625,2.0,39.0,0.230781 + 0.006661 * (x1 * x1 * (x0 - x1) - (-15.376000000000001 + (x0 * x0 - x0)) * (x1 + x0 - x0 * x0)),na,na,na,na,na,na,na,na,na,na,na,na,na,False,False,0.0,0.0,False,False,False,False,False,False,False,unchanged_ranked,na
kotanchek,22,Bingo,22,sympy,Bingo,6.0,0.6877488188414488 * exp(-1.0 * (-1.0 * x0 * (2.0 - x0) * (x1 + 0.2000198424296049) + x1 + 0.8494111690013563) / (x1 + 0.2000198424296049)),4.0,29.0,saturated,4.0,-2.0,-2.0,4.0,86.55608398839831,109.9375,2.0,38.0,0.6877488188414488 * exp(((-2.0 + x0) * ((-0.2000198424296049 - x1) * x0) - x1 + -0.8494111690013563) / (x1 + 0.2000198424296049)),saturated,3.0,-3.0,-3.0,3.0,172.37799998838454,113.375,2.0,24.0,0.6877488188414488 * exp((-0.8494111690013563 - x1) / (x1 + 0.2000198424296049) + (2.0 - x0) * x0),na,na,na,na,na,na,na,na,na,na,na,na,na,False,False,1.0,1.0,False,False,False,False,False,True,False,under_rank,na
kotanchek,101,GOMEA,12,sympy,GP-GOMEA,4.0,(-0.000529 * (x1 - 18.607) * (16.705 * x1 - exp(x1)) + 0.010331 * exp(x0 * (x0 - 2.0))) * exp(x0 * (2.0 - x0)),4.0,30.0,saturated,4.0,0.0,0.0,4.0,59.79200001456775,110.171875,2.0,91.0,(-0.000529 * (x1 + -18.607) * (16.705 * x1 - exp(x1)) + 0.010331 * exp(x0 * (x0 + -2.0))) * exp(x0 * (2.0 - x0)),saturated,4.0,0.0,0.0,4.0,221.11387498443943,116.328125,2.0,1357.0,(-0.000529 * (x1 + -18.607) * (16.705 * x1 - exp(x1)) + 0.010331 * exp(x0 * (x0 + -2.0))) * exp(x0 * (2.0 - x0)),na,na,na,na,na,na,na,na,na,na,na,na,na,False,False,0.0,0.0,False,False,False,False,False,False,False,unchanged_ranked,na
kotanchek,11,Bingo,11,original,Bingo,5.0,0.2306440753250631 + 0.03139967317000205 * x1 + (-1.1634241022901022 + exp(exp(-1.0 + x0)) ** (-1.0)) * (1.2522488356336676 - exp(x0 * exp(exp(-1.0 + x0)) ** (-1.0))),4.0,30.0,saturated,4.0,-1.0,-1.0,4.0,55.72575001860969,109.40625,1.0,48.0,0.2306440753250631 + 0.03139967317000205 * x1 + (-1.1634241022901022 + exp(exp(-1.0 + x0)) ** (-1.0)) * (1.2522488356336676 - exp(x0 * exp(exp(-1.0 + x0)) ** (-1.0))),saturated,4.0,-1.0,-1.0,4.0,145.97887499257922,105.40625,1.0,77.0,0.2306440753250631 + 0.03139967317000205 * x1 + (-1.1634241022901022 + exp(exp(-1.0 + x0)) ** (-1.0)) * (1.2522488356336676 - exp(x0 * exp(exp(-1.0 + x0)) ** (-1.0))),na,na,na,na,na,na,na,na,na,na,na,na,na,False,False,0.0,0.0,False,False,False,False,False,True,False,under_rank,na
pagie,171,SBP,21,original,SBP,2.0,0.028119 + 0.006351 * exp(x0 + x0 - x0 * x0 - (x1 + x0 + (-4.674 - x0)) * (x0 - x1 * -0.703 - x0)),4.0,31.0,saturated,4.0,2.0,2.0,4.0,50.874374981503934,109.5,2.0,48.0,0.028119 + 0.006351 * exp(x0 + x0 - x0 * x0 - (x1 + x0 + (-4.674 - x0)) * (x0 + 0.703 * x1 - x0)),saturated,4.0,2.0,2.0,4.0,80.71258300333284,110.53125,2.0,53.0,0.028119 + 0.006351 * exp(x0 + x0 - x0 * x0 - (x1 + x0 + (-4.674 - x0)) * (x0 + 0.703 * x1 - x0)),done,needs_many_params_or_rank_artifact,no_rank_reducing_rule,No param-reducing rewrite proposed; optional node-only affine cancellation: (x + y) - x -> y and (x + y) + (a - y) -> x + a.,"Affine cancellation simplifies exponent to 2*x0 - x0^2 - 0.703*x1^2 + 3.285822*x1, but still has outer 0.028119 and 0.006351 plus two independent x1-shape constants (0.703 and 4.674, or 0.703 and 3.285822).",n_rank=2 does not look reachable by sound structural rewrites under current ParamCost; likely rank/counting artifact or genuinely four-parameter form.,ok,4.0,2.0,False,False,100.85825101123191,111.234375,True,True,0.0,0.0,False,False,False,True,False,False,False,still_missed,needs_many_params_or_rank_artifact
kotanchek,113,GOMEA,24,sympy,GP-GOMEA,4.0,(0.002199 * x1 ** 2.0 * (x1 - 7.883) * (2.0 * x1 - 8.631) + 0.01479 * exp(x0 * (x0 - 2.0))) * exp(x0 * (2.0 - x0)),4.0,31.0,saturated,4.0,0.0,0.0,4.0,103.88487498858012,109.34375,2.0,156.0,(0.004398 * ((x1 + -4.3155) * x1 ** 2.0) * (x1 + -7.883) + 0.01479 * exp(x0 * (x0 + -2.0))) * exp(x0 * (2.0 - x0)),saturated,4.0,0.0,0.0,4.0,292.0064580102917,118.703125,2.0,860.0,(0.004398 * ((x1 + -4.3155) * x1 ** 2.0) * (x1 + -7.883) + 0.01479 * exp(x0 * (x0 + -2.0))) * exp(x0 * (2.0 - x0)),na,na,na,na,na,na,na,na,na,na,na,na,na,False,False,0.0,0.0,False,False,False,False,False,False,False,unchanged_ranked,na
kotanchek,154,SBP,5,sympy,SBP,4.0,(-7.5288e-05 * (19.513 * x1 - exp(x1)) * (exp(x1) - 107.2854) + 0.009179 * exp(x0 * (x0 - 2.0))) * exp(x0 * (2.0 - x0)),4.0,31.0,saturated,4.0,0.0,0.0,4.0,61.61624999367632,99.140625,2.0,91.0,(-7.5288e-05 * (19.513 * x1 - exp(x1)) * (exp(x1) + -107.2854) + 0.009179 * exp(x0 * (x0 + -2.0))) * exp(x0 * (2.0 - x0)),saturated,4.0,0.0,0.0,4.0,129.5540830178652,113.65625,2.0,701.0,(-7.5288e-05 * (19.513 * x1 - exp(x1)) * (exp(x1) + -107.2854) + 0.009179 * exp(x0 * (x0 + -2.0))) * exp(x0 * (2.0 - x0)),na,na,na,na,na,na,na,na,na,na,na,na,na,False,False,0.0,0.0,False,False,False,False,False,False,False,unchanged_ranked,na
kotanchek,167,SBP,18,sympy,SBP,4.0,(-0.00670060812084771 * x1 * (x1 - 4.331) * (2.0 * x1 + 3.46) + 0.008014 * exp(x0 * (x0 - 2.0))) * exp(x0 * (2.0 - x0)),4.0,31.0,saturated,4.0,0.0,0.0,4.0,95.77295900089666,108.796875,2.0,155.0,(-0.01340121624169542 * ((x1 + 1.73) * x1) * (x1 + -4.331) + 0.008014 * exp(x0 * (x0 + -2.0))) * exp(x0 * (2.0 - x0)),saturated,4.0,0.0,0.0,4.0,233.80395799176767,119.65625,2.0,856.0,(-0.01340121624169542 * ((x1 + 1.73) * x1) * (x1 + -4.331) + 0.008014 * exp(x0 * (x0 + -2.0))) * exp(x0 * (2.0 - x0)),na,na,na,na,na,na,na,na,na,na,na,na,na,False,False,0.0,0.0,False,False,False,False,False,False,False,unchanged_ranked,na
pagie,185,SRjl,6,sympy,PySR,4.0,-2.2904387076672257 * x0 ** 2.0 * exp(-3.0 * x0 ** 2.0) + 2.313793445234176 - 1.6951225737003925 / log(x0 ** 2.0 * x1 ** 2.0 + 2.734100844390089),4.0,31.0,saturated,4.0,0.0,0.0,4.0,35.30741698341444,109.421875,1.0,56.0,-2.2904387076672257 * x0 ** 2.0 * exp(-3.0 * x0 ** 2.0) + 2.313793445234176 - 1.6951225737003925 / log(x0 ** 2.0 * x1 ** 2.0 + 2.734100844390089),saturated,4.0,0.0,0.0,4.0,61.470249987905845,106.21875,1.0,56.0,-2.2904387076672257 * x0 ** 2.0 * exp(-3.0 * x0 ** 2.0) + 2.313793445234176 - 1.6951225737003925 / log(x0 ** 2.0 * x1 ** 2.0 + 2.734100844390089),na,na,na,na,na,na,na,na,na,na,na,na,na,False,False,0.0,0.0,False,False,False,False,False,False,False,unchanged_ranked,na
kotanchek,19,Bingo,19,sympy,Bingo,5.0,0.004874455021822982 * (x1 + 0.6623280966084486) * (x0 + (9.896181203737148 - x1 ** 2.0) * exp(x0 * (x0 - 2.0)) + 10.524866972388967) * exp(x0 * (2.0 - x0)),4.0,31.0,saturated,4.0,-1.0,-1.0,4.0,49.74650000804104,108.984375,2.0,93.0,0.004874455021822982 * (x1 + 0.6623280966084486) * (x0 + (9.896181203737148 - x1 ** 2.0) * exp(x0 * (x0 + -2.0)) + 10.524866972388967) * exp(x0 * (2.0 - x0)),saturated,4.0,-1.0,-1.0,4.0,100.0367090164218,110.375,2.0,93.0,0.004874455021822982 * (x1 + 0.6623280966084486) * (x0 + (9.896181203737148 - x1 ** 2.0) * exp(x0 * (x0 + -2.0)) + 10.524866972388967) * exp(x0 * (2.0 - x0)),na,na,na,na,na,na,na,na,na,na,na,na,na,False,False,0.0,0.0,False,False,False,False,False,True,False,under_rank,na
kotanchek,11,Bingo,11,sympy,Bingo,5.0,((0.03139967317000205 * x1 + 0.2306440753250631) * exp(exp(x0 - 1.0)) + (exp(x0 * exp(-1.0 * exp(x0 - 1.0))) - 1.2522488356336676) * (1.1634241022901022 * exp(exp(x0 - 1.0)) - 1.0)) * exp(-1.0 * exp(x0 - 1.0)),4.0,31.0,saturated,4.0,-1.0,-1.0,4.0,74.67187498696148,108.03125,1.0,136.0,((0.03139967317000205 * x1 + 0.2306440753250631) * exp(exp(x0 - 1.0)) + (exp(x0 * exp(-1.0 * exp(x0 - 1.0))) - 1.2522488356336676) * (1.1634241022901022 * exp(exp(x0 - 1.0)) - 1.0)) * exp(-1.0 * exp(x0 - 1.0)),saturated,4.0,-1.0,-1.0,4.0,522.1235000062734,107.796875,2.0,1079.0,(0.03139967317000205 * (x1 + 7.34542917298295) * exp(exp(x0 - 1.0)) + (exp(x0 * exp(-1.0 * exp(x0 - 1.0))) - 1.2522488356336676) * (1.1634241022901022 * exp(exp(x0 - 1.0)) - 1.0)) * exp(-1.0 * exp(x0 - 1.0)),na,na,na,na,na,na,na,na,na,na,na,na,na,False,False,0.0,0.0,False,False,False,False,False,True,False,under_rank,na
kotanchek,16,Bingo,16,sympy,Bingo,4.0,(-0.11518537624350338 * x1 * (x1 - 4.739082076972427) - 5.9611827480310925e-05 * exp((x0 - 1.0) ** 2.0) + 0.010503514965800351) * exp(-1.0 * (x0 - 1.0) ** 2.0),4.0,32.0,saturated,4.0,0.0,0.0,4.0,44.348834024276584,109.828125,1.0,172.0,(-0.11518537624350338 * x1 * (x1 - 4.739082076972427) - 5.9611827480310925e-05 * exp((x0 - 1.0) ** 2.0) + 0.010503514965800351) * exp(-1.0 * (x0 - 1.0) ** 2.0),saturated,4.0,0.0,0.0,4.0,282.797332998598,118.125,2.0,1145.0,(-0.11518537624350338 * x1 * (x1 + -4.739082076972427) + -5.9611827480310925e-05 * exp((x0 + -1.0) ** 2.0) + 0.010503514965800351) * exp(-1.0 * (x0 + -1.0) ** 2.0),na,na,na,na,na,na,na,na,na,na,na,na,na,False,False,0.0,0.0,False,False,False,False,False,False,False,unchanged_ranked,na
pagie,157,SBP,8,sympy,SBP,3.0,0.006661 * x1 ** 2.0 * (x0 - x1) + 0.006661 * (-1.0 * x0 ** 2.0 + x0 + 15.376) * (-1.0 * x0 ** 2.0 + x0 + x1) + 0.230781,4.0,33.0,saturated,3.0,0.0,0.0,3.0,278.7756669858936,121.59375,2.0,45.0,0.006661 * ((x0 - x1) * x1 ** 2.0 + (x0 - x0 ** 2.0 + x1) * (x0 - x0 ** 2.0 + 15.376)) + 0.230781,saturated,3.0,0.0,0.0,3.0,1148.3218340144958,161.296875,2.0,45.0,0.006661 * ((x0 - x1) * x1 ** 2.0 + (x0 - x0 ** 2.0 + x1) * (x0 - x0 ** 2.0 + 15.376)) + 0.230781,na,na,na,na,na,na,na,na,na,na,na,na,na,False,False,0.0,0.0,False,False,False,False,False,False,False,unchanged_ranked,na
pagie,171,SBP,21,sympy,SBP,2.0,0.006351 * exp(-1.0 * x0 ** 2.0 + 2.0 * x0 - 0.703 * x1 ** 2.0 + 3.285822 * x1) + 0.028119,4.0,35.0,saturated,4.0,2.0,2.0,4.0,328.4353749768343,122.3125,2.0,65.0,0.006351 * exp(2.0 * x0 - x0 ** 2.0 + -0.703 * x1 ** 2.0 + 3.285822 * x1) + 0.028119,saturated,4.0,2.0,2.0,4.0,887.4301250034478,134.125,2.0,4890.0,0.006351 * exp(2.0 * x0 - x0 ** 2.0 + -0.703 * x1 ** 2.0 + 3.285822 * x1) + 0.028119,done,needs_many_params_or_rank_artifact,no_rank_reducing_rule,none,"Completing the square gives B*exp(-(x0-1)^2 - 0.703*(x1-2.337)^2) + 0.028119 with B=0.006351*exp(4.839483007), still four non-integer constants B, 0.703, 2.337, 0.028119. Comparing quadratic log coefficients shows these are generically identifiable.",n_rank=2 appears to be rank/metric artifact rather than reachable by sound rewrite.,ok,4.0,2.0,False,False,111983.89600004884,1010.109375,True,True,0.0,0.0,False,False,False,True,False,False,False,still_missed,needs_many_params_or_rank_artifact
kotanchek,28,Bingo,28,original,Bingo,6.0,(0.20913305449088818 + 0.62938832186819 * x0) * exp(2.665810272148384 * ((-12.800195782530425 + 3.0 * x0 - x1) ** (-1.0) * exp(x0))),4.0,35.0,saturated,4.0,-2.0,-2.0,4.0,35.58758401777595,109.375,1.0,64.0,(0.20913305449088818 + 0.62938832186819 * x0) * exp(2.665810272148384 * ((-12.800195782530425 + 3.0 * x0 - x1) ** (-1.0) * exp(x0))),saturated,4.0,-2.0,-2.0,4.0,48.16687499987893,99.765625,1.0,64.0,(0.20913305449088818 + 0.62938832186819 * x0) * exp(2.665810272148384 * ((-12.800195782530425 + 3.0 * x0 - x1) ** (-1.0) * exp(x0))),na,na,na,na,na,na,na,na,na,na,na,na,na,False,False,0.0,0.0,False,False,False,False,False,True,False,under_rank,na
kotanchek,17,Bingo,17,original,Bingo,na,0.681112641117685 * (exp(x0) * (x0 - exp(x0)) * ((-0.601686750816862 + 0.0635052950716775 * ((-0.17402614857984516 + x1) * (exp(x0) * (x0 - exp(x0)))) - x0) * exp(exp(x0)) ** (-1.0))),4.0,35.0,saturated,4.0,na,na,4.0,41.41170799266547,109.703125,1.0,258.0,0.681112641117685 * (exp(x0) * (x0 - exp(x0)) * ((-0.601686750816862 + 0.0635052950716775 * ((-0.17402614857984516 + x1) * (exp(x0) * (x0 - exp(x0)))) - x0) * exp(exp(x0)) ** (-1.0))),saturated,4.0,na,na,4.0,79.92916699731722,110.515625,1.0,258.0,0.681112641117685 * (exp(x0) * (x0 - exp(x0)) * ((-0.601686750816862 + 0.0635052950716775 * ((-0.17402614857984516 + x1) * (exp(x0) * (x0 - exp(x0)))) - x0) * exp(exp(x0)) ** (-1.0))),na,na,na,na,na,na,na,na,na,na,na,na,na,False,False,0.0,na,True,False,False,False,False,False,False,missing_rank,na
pagie,175,SBP,25,sympy,SBP,2.0,(0.00540440450573385 * x1 ** 2.0 * (x1 - 6.944) * (x1 - 4.3) * exp(x0) + 0.015024 * exp(x0 * (x0 - 1.0))) * exp(x0 * (1.0 - x0)),4.0,36.0,saturated,4.0,2.0,2.0,4.0,103.92108297673984,109.390625,2.0,381.0,(0.00540440450573385 * x1 ** 2.0 * (x1 + -6.944) * (x1 + -4.3) * exp(x0) + 0.015024 * exp(x0 * (x0 + -1.0))) * exp(x0 * (1.0 - x0)),saturated,4.0,2.0,2.0,4.0,165.95224998309277,114.4375,2.0,791.0,(0.00540440450573385 * x1 ** 2.0 * (x1 + -6.944) * (x1 + -4.3) * exp(x0) + 0.015024 * exp(x0 * (x0 + -1.0))) * exp(x0 * (1.0 - x0)),done,needs_many_params_or_rank_artifact,exp_product_or_quotient_normalization,none reducing params; exp(u)*exp(v)->exp(u+v) with distribution only gives shape simplification,"Let A=0.00540440450573385, B=0.015024, c=6.944, d=4.3, q=x0*(x0-1), r=x0*(1-x0)=-q. Then E=(A*x1^2*(x1-c)*(x1-d)*exp(x0)+B*exp(q))*exp(r)=B+A*x1^2*(x1-c)*(x1-d)*exp(2*x0-x0^2), still A,B,c,d = 4 params.",Rank target 2 is not explained by globally sound rewrite; likely finite-data/numerical rank or counting artifact.,ok,4.0,2.0,False,False,1555.6119580287486,160.953125,True,True,0.0,0.0,False,False,False,True,False,False,False,still_missed,needs_many_params_or_rank_artifact
pagie,196,SRjl,17,sympy,PySR,4.0,-0.6619166689994233 * x1 ** 2.0 * exp(-2.0 * x1 ** 2.0) + 1.9503833114546634 - 1.0360719341398616 * exp(-1.0 * x1 ** 2.0) - 1.113084302832721 * exp(-1.0 * x0 ** 2.0),4.0,36.0,saturated,4.0,0.0,0.0,4.0,78.35737499408424,107.265625,1.0,503.0,-0.6619166689994233 * x1 ** 2.0 * exp(-2.0 * x1 ** 2.0) + 1.9503833114546634 - 1.0360719341398616 * exp(-1.0 * x1 ** 2.0) - 1.113084302832721 * exp(-1.0 * x0 ** 2.0),saturated,4.0,0.0,0.0,4.0,1239.238167006988,146.515625,1.0,11128.0,-0.6619166689994233 * x1 ** 2.0 * exp(-2.0 * x1 ** 2.0) + 1.9503833114546634 - 1.0360719341398616 * exp(-1.0 * x1 ** 2.0) - 1.113084302832721 * exp(-1.0 * x0 ** 2.0),na,na,na,na,na,na,na,na,na,na,na,na,na,False,False,0.0,0.0,False,False,False,False,False,False,False,unchanged_ranked,na
kotanchek,0,Bingo,1,original,Bingo,4.0,0.11064466475608078 + -0.010036545250561161 * (2.0 * x0 + 2.0 * x1) + 0.713072197849276 * ((0.022522799045566234 + x0 * x0) * (x0 * x0 + 2.0 ** (-1.0) * (x1 ** (-1.0) * exp(x0 * x0))) ** (-1.0)),4.0,36.0,saturated,5.0,1.0,1.0,5.0,279.2919999919832,122.390625,2.0,133.0,-0.020073090501122322 * (x0 + x1 + -5.5120891698213805) + 0.713072197849276 * ((0.022522799045566234 + x0 * x0) * (x0 * x0 + 0.5 * (x1 ** (-1.0) * exp(x0 * x0))) ** (-1.0)),saturated,4.0,0.0,0.0,4.0,680.224250012543,134.0,2.0,380.0,-0.020073090501122322 * (x0 + x1 + -5.5120891698213805) + 0.713072197849276 * ((0.022522799045566234 + x0 * x0) * (exp(x0 * x0) * (x1 ** (-1.0) / 2.0) + x0 * x0) ** (-1.0)),done,new_rule_reduces_to_rank,quotient_coefficient_exposure,"c*((u*(x+a*y))**-1) -> (c/a)*((u*((1/a)*x+y))**-1), a != 0",The row contains X + 0.5*T inside a reciprocal. Factor 0.5 out: c/0.5 times reciprocal of u*(2*X+T). 0.5 disappears as a parameter and 2 is integer-valued: 5->4.,Needs new reciprocal scalar pull-out; current rules lack scalar extraction through reciprocal/power -1.,na,na,na,na,na,na,na,True,False,1.0,1.0,False,False,True,False,False,False,False,fixed_by_extra_rules,na
kotanchek,171,SBP,22,sympy,SBP,4.0,(-0.000135 * (x1 + 1.716) * (x1 * exp(x0 ** 2.0 + x1) - 333.597414814633 * exp(2.0 * x0)) + 0.033047 * exp(x0 ** 2.0)) * exp(-1.0 * x0 ** 2.0),4.0,37.0,saturated,4.0,0.0,0.0,4.0,72.75841699447483,109.640625,2.0,95.0,(-0.000135 * (x1 + 1.716) * (x1 * exp(x0 ** 2.0 + x1) + -333.597414814633 * exp(2.0 * x0)) + 0.033047 * exp(x0 ** 2.0)) * exp(-1.0 * x0 ** 2.0),saturated,4.0,0.0,0.0,4.0,343.83837500354275,121.515625,2.0,2889.0,(-0.000135 * (x1 + 1.716) * (x1 * exp(x0 ** 2.0 + x1) + -333.597414814633 * exp(2.0 * x0)) + 0.033047 * exp(x0 ** 2.0)) * exp(-1.0 * x0 ** 2.0),na,na,na,na,na,na,na,na,na,na,na,na,na,False,False,0.0,0.0,False,False,False,False,False,False,False,unchanged_ranked,na
