dataset,raw_index,algorithm_raw,algo_row,input_kind,algorithm,source_orig_parsed_expr,source_orig_parsed_n_params,source_before_nodes,n_rank,before_params,after_params,rank_gap,simpl_parsed_n_params,parsed_rank_gap,runtime_ms,peak_rss_mb,passes,egraph_total_size,egraph_nodes,eclass_count,extracted_cost,rendered
pagie,0,Bingo,1,original,Bingo,0.5240322255066139 + -0.45351118068033663 * log(abs(-54.93119319072758 + 755.3723998652232 * log(abs(-2.0 * (x0 * x1 ** (-1.0)) + -66438756992.645454 * (x0 * x1))) ** (-1.0) + log(abs(-2.0 * (x0 * x1 ** (-1.0)) + -66438756992.645454 * (x0 * x1))))),6.0,43.0,4.0,6.0,6.0,2.0,6.0,2.0,554.1983339935541,129.984375,2.0,1276.0,na,na,39.0,0.5240322255066139 + -0.45351118068033663 * log(abs(-54.93119319072758 + 755.3723998652232 * log(abs(-2.0 * (x0 * (x1 ** (-1.0) + 33219378496.322727 * x1)))) ** (-1.0) + log(abs(-2.0 * (x0 * (x1 ** (-1.0) + 33219378496.322727 * x1))))))
pagie,28,Bingo,28,original,Bingo,17.519637627145645 + -3.529837319764648 * (log(abs(-3.3162197817782353 + 76.20364329715497 * log(abs(900226.4764680645 * (x0 * x1))) ** (-1.0))) ** (-1.0) * log(abs(-3.139766204630333 * (x0 ** (-1.0) * (x1 ** (-1.0) * log(abs(900226.4764680645 * (x0 * x1)))))))),7.0,17.0,2.0,7.0,7.0,5.0,7.0,5.0,114.85545799951068,118.40625,1.0,122.0,na,na,41.0,17.519637627145645 + -3.529837319764648 * (log(abs(-3.3162197817782353 + 76.20364329715497 * log(abs(900226.4764680645 * (x0 * x1))) ** (-1.0))) ** (-1.0) * log(abs(-3.139766204630333 * (x0 ** (-1.0) * (x1 ** (-1.0) * log(abs(900226.4764680645 * (x0 * x1))))))))
pagie,24,Bingo,24,original,Bingo,log(abs(0.8889056731853394)) * (-25.375926540572554 + -2.4339755472913582 * log(abs(x0 * x1)) + log(abs(-4625426.158330705 * log(abs(log(abs(0.8889056731853394 + 0.8889056731853394 * 0.8889056731853394)) * x1 ** (-1.0))) ** (-1.0)))),7.0,20.0,3.0,7.0,5.0,2.0,5.0,2.0,452.65304201166146,128.484375,2.0,757.0,na,na,25.0,-0.11776415350114562 * (-2.4339755472913582 * (log(abs(x0 * x1)) + 10.425711371181222) + log(abs(-4625426.158330705 * log(abs(0.5182334989833758 * x1 ** (-1.0))) ** (-1.0))))
pagie,179,SBP,29,sympy,SBP,(0.004516 * x0 * x1 * (x1 - 4.432) * (1.033 * exp(x0) - 13.9852052082504) * (-1.0 * x0 + x1 + 3.749) + (0.105238 - 0.004516 * x0) * exp(x0)) * exp(-1.0 * x0),7.0,28.0,4.0,7.0,6.0,2.0,6.0,2.0,4835.113832989009,200.65625,2.0,1048.0,na,na,28.0,0.004516 * (23.303365810451727 - x0 + (1.033 + -13.9852052082504 * exp(-1.0 * x0)) * ((x1 - x0 + 3.749) * ((x1 + -4.432) * (x1 * x0))))
pagie,167,SBP,17,sympy,SBP,0.048266 * x0 * (x0 - 3.579) * (x0 - 3.247) - 0.048266 * x0 - 0.048266 * x1 ** 2.0 + 0.24133 * x1 - 0.065845,7.0,29.0,3.0,7.0,4.0,1.0,4.0,1.0,3502.737667004112,210.8125,2.0,50.0,na,na,21.0,-0.048266 * (-5.0 * x1 - (x0 * (x0 * (x0 + -6.8260000000000005) + 10.621013) - x1 ** 2.0) - -1.3642108316413208)
pagie,165,SBP,15,sympy,SBP,0.01085 * x0 ** 3.0 - 0.1463448 * x0 ** 2.0 + 0.19689495 * x0 + 0.1607319 * x1 + 0.01085 * exp(x0) - 0.01085 * exp(x1) + 0.0894957768,7.0,30.0,4.0,7.0,5.0,1.0,5.0,1.0,7690.013417013688,260.796875,2.0,26059.0,na,na,27.0,0.19689495000000004 * x0 + -0.01085 * (exp(x1) - (exp(x0) + 14.814 * x1) - x0 ** 3.0) + -0.1463448 * x0 ** 2.0 + 0.0894957768
pagie,45,EPLEX,16,original,EPLEX,log(abs(log(abs(log(abs(log(abs(-0.021)) - 0.607 / exp(log(abs(x1 / (0.447 / exp(log(abs(x0)))))) / -0.542))) / -0.302)) ** 2.0 / -0.927 / -1.297)),7.0,33.0,5.0,7.0,6.0,1.0,6.0,1.0,173.3427080034744,118.390625,2.0,129.0,na,na,29.0,log(abs(0.8317260227942834 * log(abs(-3.3112582781456954 * log(abs(-0.607 * (exp(1.8450184501845017 * log(abs(2.237136465324385 * x1 * exp(log(abs(x0)))))) + 6.364469260722758))))) ** 2.0))
kotanchek,208,SRjl,29,sympy,PySR,0.5126111526206354 * x1 * (0.6214063774224301 * x0 * x1 * (1.8394445968539719 * x0 + 3.0 * x1 - 0.16055540314602817 * exp(x1) - 0.6904329788496647) + x1 - 0.2570477604364112) * exp(-0.6022120672089649 * x0 ** 2.0 - x1),7.0,39.0,6.0,7.0,7.0,1.0,7.0,1.0,5349.660124978982,191.40625,2.0,14783.0,na,na,33.0,0.585936386423514 * (x1 * (x0 * (x0 + 1.6309270771900075 * x1 - 0.08728471812667168 * exp(x1) - 0.37534861339695796) + 0.8748580298102887) - 0.22488029726254577) * x1 * exp(-0.6022120672089649 * x0 ** 2.0 - x1)
pagie,59,EPLEX,30,sympy,EPLEX,exp(log(abs(log(abs(log(abs(-13.1752305665349 * x0 * x1 * (exp(log(abs(log(abs(-0.829187396351575 * x0 * x1)) + 0.01646))) + 1.224793743616) * exp(-1.0 * log(abs(log(abs(log(abs(log(abs(log(abs(0.0547887931034483 * log(abs(log(abs(0.59691 / x0)))) * exp(log(abs(log(abs(log(abs(-1.58166591955662 * x1))))))) / (x0 * x1))))))))))))))))))),7.0,89.0,6.0,7.0,7.0,1.0,7.0,1.0,254.0875000122469,120.171875,2.0,296.0,na,na,65.0,exp(log(abs(log(abs(log(abs(-13.1752305665349 * x0 * x1 * (exp(log(abs(log(abs(-0.829187396351575 * x0 * x1)) + 0.01646))) + 1.224793743616) * exp(-1.0 * log(abs(log(abs(log(abs(log(abs(log(abs(exp(log(abs(log(abs(log(abs(-1.58166591955662 * x1))))))) * (log(abs(log(abs(0.59691 / x0)))) * (0.0547887931034483 / (x0 * x1)))))))))))))))))))))
pagie,28,Bingo,28,sympy,Bingo,17.519637627145645 - 3.529837319764648 * log(-3.139766204630333 * log(x0 * x1) / (x0 * x1) - 43.04745575625259 / (x0 * x1)) / log(-3.3162197817782353 * log(x0 * x1) / (log(x0 * x1) + 13.71040165117035) + 30.73693812541886 / (log(x0 * x1) + 13.71040165117035)),8.0,15.0,2.0,8.0,7.0,5.0,7.0,5.0,991.0750830022153,147.421875,2.0,85.0,na,na,34.0,-3.529837319764648 * (log((log(x0 * x1) - -13.710401651170352) * (-3.139766204630333 / (x0 * x1))) / log((log(x0 * x1) + -9.268667382756215) * (-3.3162197817782353 / (log(x0 * x1) - -13.710401651170352))) + -4.963298883222688)
