dataset,raw_index,algorithm_raw,algorithm,algo_row,is_paper_row,drop_reason,original_expr,sympy_expr,raw_csv_index,orig_nodes,orig_params,simpl_nodes,simpl_params,orig_nodes_sympy,orig_params_sympy,simpl_nodes_sympy,simpl_params_sympy,n_params,n_rank
pagie,32,EPLEX,EPLEX,3,0,missing_rank,exp((1.463/(((((0.0-(((0.008/(-1.127))-(-1.127/exp((((x1/(x1^2))-(-0.001/x0))^2))))/x0))^2)+(exp(((exp(((1.145/((x1^2)+exp(0.118)))/(exp((((x1^2)-(-0.183^2))/plog(exp(exp(0.096)))))+(0.004^2))))/x0)^2))/(x1^2)))^2)+exp((0.861^2))))),exp(1.463/(1.613227676641*(0.787321602766333*exp(exp(2.29/((x1**2 + 1.12524411136734)*(exp((x1**2 + 0.033489)/plog(3.00644724389358)) + 1.6e-5)))/x0**2)/x1**2 + (0.00629857282213067 - exp(-(1/x1 + 0.001/x0)**2))**2/x0**2)**2 + 2.09870607486124)),32,64.0,13.0,48.0,10.0,62.0,13.0,50.0,12.0,,
pagie,33,EPLEX,EPLEX,4,0,missing_rank,exp(((exp(-0.177)^2)-exp(((exp(((plog(x1)*plog(x0))-exp(plog(((-0.288+0.329)+exp(plog((x1^3))))))))^2)+(((0.526*exp(plog((x1/exp(exp((((plog(x0)^3)^2)^3)))))))^3)-exp((plog((x1/exp(exp(-0.268))))+plog(x0)))))))),2.01753196994854*exp(-exp(exp(2*plog(x0)*plog(x1) - 2*exp(plog(exp(plog(x1**3)) + 0.041))) - exp(plog(x0) + plog(0.465376845534964*x1)) + 0.145531576*exp(3*plog(x1*exp(-exp(plog(x0)**18)))))),33,58.0,4.0,46.0,4.0,60.0,9.0,52.0,8.0,,
pagie,34,EPLEX,EPLEX,5,1,kept,(((-0.4*(-0.762-plog((x1*0.267))))+(exp(exp(((plog((exp(exp(((plog((x1*(0.227+0.13)))^3)+(-0.002+0.093))))*(0.527^2)))^3)+(0.311+0.106))))+plog(((0.644+plog((plog((0.423+exp(plog((x0^3)))))*0.362)))-exp((0.801+(1.795+plog(((x0-0.142)*x0)))))))))*0.203),0.0812*plog(0.267*x1) + 0.203*plog(plog(0.362*plog(exp(plog(x0**3)) + 0.423)) - 13.4099906492963*exp(plog(x0*(x0 - 0.142))) + 0.644) + 0.203*exp(1.51740251293508*exp(plog(0.277729*exp(1.09526900525847*exp(plog(0.357*x1)**3)))**3)) + 0.0618744,34,67.0,15.0,58.0,13.0,65.0,14.0,56.0,13.0,14.0,11.0
pagie,35,EPLEX,EPLEX,6,1,kept,exp((exp(((-0.389*0.915)-exp(plog((plog((((0.0+(1.054^3))+(((plog(x0)/x1)/x1)^2))-exp(plog((plog(0.529)*(-0.87/x0))))))*(-1.095/x0))))))-exp(plog(exp(plog(((plog((((plog(0.633)*(plog((0.694/x1))*0.694))*x0)*(1.042/x0)))/x1)*(0.135/x0)))))))),exp(-exp(plog(exp(plog(0.135*plog(0.723148*plog(0.633)*plog(0.694/x1))/(x0*x1))))) + 0.700518152435348*exp(-exp(plog(-1.095*plog(-exp(plog(-0.87*plog(0.529)/x0)) + 1.170905464 + plog(x0)**2/x1**4)/x0)))),35,71.0,12.0,44.0,7.0,71.0,14.0,45.0,8.0,11.0,7.0
pagie,36,EPLEX,EPLEX,7,1,kept,(plog(plog(plog(((((1.45+exp(((plog((x1/(((plog((plog((2.209/(plog(((2.1^2)/(((plog((0.42/x1))/((x0/x1)^3))/x1)^3)))/(0.306^3))))/(0.347^3)))/x0)/plog(((0.243/x1)^3)))^3)))-0.147)-0.43)))^2)/1.003)^3))))+0.671),plog(plog(plog(9.2109667451207*(0.387296954295987*exp(plog(x0**3*x1*plog(0.014348907/x1**3)**3/plog(23.933795483755*plog(0.063293628744/plog(4.41*x0**9/(x1**6*plog(0.42/x1)**3))))**3)) + 1)**6))) + 0.671,36,66.0,11.0,58.0,10.0,64.0,9.0,54.0,9.0,11.0,8.0
pagie,37,EPLEX,EPLEX,8,1,kept,((((0.987-(0.137^2))-(((1.318-exp(((-0.121*x1)^2)))*(plog((0.137*x1))+(((1.269-exp((0.109^2)))*(plog((x1*x1))+((1.092^2)^2)))^2)))^2))^2)+((0.003^2)+exp((plog(x0)-exp((exp(plog(plog(x0)))-1.092)))))),3.017599791376*((0.13360110193664*(0.703249523422628*plog(x1**2) + 1)**2 + plog(0.137*x1))**2*(0.758725341426404*exp(0.014641*x1**2) - 1)**2 - 0.557375869540689)**2 + exp(plog(x0) - 0.335544732704243*exp(exp(plog(plog(x0))))) + 9.0e-6,37,51.0,9.0,43.0,8.0,57.0,11.0,49.0,11.0,10.0,8.0
pagie,38,EPLEX,EPLEX,9,1,kept,plog(plog((((-0.382/(((-0.255*(-0.162-x0))^3)-x0))/(-0.821/(exp(plog((0.711^2)))/((-0.133/(0.697/(-0.352/((0.82^2)/(exp(plog((exp(plog((-0.666/(((plog(exp(plog(0.746)))^3)^3)-x0))))/(((-0.29*(0.717-x0))^3)-x0))))/(0.012-x1))))))-x1))))^2))),plog(plog(0.216491281687613*(x1 - 0.012)**2*exp(2*plog(0.505521))/((x0 - 0.016581375*(x0 + 0.162)**3)**2*(x1*(x1 - 0.012) + 0.099892716042323*exp(plog(-exp(plog(0.666/(x0 - plog(exp(plog(0.746)))**9)))/(x0 - 0.024389*(x0 - 0.717)**3))))**2))),38,83.0,21.0,50.0,14.0,71.0,13.0,48.0,11.0,14.0,8.0
pagie,39,EPLEX,EPLEX,10,1,kept,(((0.811+1.148)-((-2.213/((1.216+1.047)+((x0^2)^2)))^2))-((plog(-0.414)/(((-1.148/(1.185+(x1^2)))^2)+(x1^2)))^2)),-(0.843881856540084*x1**2 + 1)**4*plog(-0.414)**2/(x1**2*(0.843881856540084*x1**2 + 1)**2 + 0.938527657604728)**2 + 1.959 - 0.956299040316772/(0.441891294741494*x0**4 + 1)**2,39,37.0,8.0,24.0,6.0,49.0,11.0,35.0,10.0,6.0,6.0
pagie,40,EPLEX,EPLEX,11,1,kept,((-0.54^2)+(0.847*(((-1.353/exp((x0^2)))+((exp(((-0.71/exp((((0.735*((((((-1.448/exp((x0^2)))/exp((x0^2)))^2)^2)^2)+exp((-1.433/(((-0.54/exp((x0^2)))^2)/((x0^2)^2))))))*0.015)+(plog(x1)*0.863))))^3))^2)*exp((0.121+(0.562*0.116)))))+(-0.904^2)))),-0.983781952 + 1.02034154131005*exp(-0.715822*exp(-2.589*plog(x1) - 0.033075*exp(-4.91426611796982*x0**4*exp(2*x0**2)) - 0.639217045938054*exp(-16*x0**2))) - 1.145991*exp(-x0**2),40,78.0,17.0,50.0,9.0,55.0,15.0,43.0,11.0,12.0,8.0
pagie,41,EPLEX,EPLEX,12,0,missing_rank,((((plog(x0)-(-0.596+exp(((exp(0.489)+0.342)-exp((plog(x1)*(exp((plog(x1)*(exp(((plog(x0)-exp(plog(-0.096)))/exp((((plog(x0)^3)-((plog((exp(0.458)+0.11))^2)+0.04))-exp(-0.139)))))-(plog(x1)+0.519))))+0.247)))))))-0.381)*exp(plog(-0.263)))-plog(exp(plog(-0.189)))),plog(x0)*exp(plog(-0.263)) - plog(exp(plog(-0.189))) - 7.18995360946865*exp(plog(-0.263) - exp(plog(x1)*exp(-plog(x1)**2 + plog(x1)*exp(2.48488909421545*plog(x0)*exp(plog(1.69090900306142)**2 - plog(x0)**3) - 2.48488909421545*exp(plog(-0.096) + plog(1.69090900306142)**2 - plog(x0)**3)) - 0.519*plog(x1)) + 0.247*plog(x1))) + 0.215*exp(plog(-0.263)),41,67.0,11.0,43.0,7.0,98.0,14.0,54.0,9.0,,
