implementation,algorithm_raw,algorithm,algo_row,node_count,after_nodes,runtime_ms,status
Live Haskell,EPLEX,EPLEX,12,67,43,168.049,saturated
Live Haskell,GOMEA,GP-GOMEA,7,17,17,293.575,saturated
Live Haskell,GOMEA,GP-GOMEA,8,16,14,653.524,saturated
Live Haskell,GOMEA,GP-GOMEA,9,19,19,1311.402,saturated
Live Haskell,GOMEA,GP-GOMEA,10,14,14,254.963,saturated
Live Haskell,GOMEA,GP-GOMEA,11,17,17,299.165,saturated
Live Haskell,GOMEA,GP-GOMEA,12,20,18,451.718,saturated
Live Haskell,GOMEA,GP-GOMEA,13,16,14,612.305,saturated
Live Haskell,GOMEA,GP-GOMEA,14,19,17,620.408,saturated
Live Haskell,GOMEA,GP-GOMEA,15,19,19,1711.722,saturated
Live Haskell,GOMEA,GP-GOMEA,16,19,19,1373.9470000000001,saturated
Live Haskell,GOMEA,GP-GOMEA,17,21,21,1563.397,saturated
Live Haskell,GOMEA,GP-GOMEA,18,21,21,1590.5819999999999,saturated
Live Haskell,GOMEA,GP-GOMEA,19,21,19,807.5649999999999,saturated
Live Haskell,GOMEA,GP-GOMEA,20,17,17,307.69,saturated
Live Haskell,GOMEA,GP-GOMEA,21,17,17,301.305,saturated
Live Haskell,GOMEA,GP-GOMEA,22,17,17,294.59499999999997,saturated
Live Haskell,GOMEA,GP-GOMEA,23,19,19,1644.719,saturated
Live Haskell,GOMEA,GP-GOMEA,24,18,14,743.892,saturated
Live Haskell,EPLEX,EPLEX,13,29,27,2.592,saturated
Live Haskell,EPLEX,EPLEX,14,72,46,15.588,saturated
Live Haskell,EPLEX,EPLEX,15,55,36,92.545,saturated
Live Haskell,EPLEX,EPLEX,16,33,28,3.233,saturated
Live Haskell,EPLEX,EPLEX,17,67,45,1569.7369999999999,saturated
Live Haskell,EPLEX,EPLEX,18,59,57,112.905,saturated
Live Haskell,EPLEX,EPLEX,19,25,20,30.688,saturated
Live Haskell,EPLEX,EPLEX,20,66,46,2819.846,saturated
Live Haskell,EPLEX,EPLEX,21,43,29,1804.38,saturated
Live Haskell,EPLEX,EPLEX,22,32,27,14.822000000000001,saturated
Live Haskell,EPLEX,EPLEX,23,29,16,17.589000000000002,saturated
Live Haskell,EPLEX,EPLEX,24,85,57,183.134,saturated
Live Haskell,EPLEX,EPLEX,25,69,40,1490.616,saturated
Live Haskell,EPLEX,EPLEX,26,56,32,6.193,saturated
Live Haskell,EPLEX,EPLEX,27,32,22,38.96,saturated
Live Haskell,EPLEX,EPLEX,28,79,45,660.704,saturated
Live Haskell,EPLEX,EPLEX,29,55,49,23.256,saturated
Live Haskell,EPLEX,EPLEX,30,89,67,936.4879999999999,saturated
Live Haskell,FEAT,FEAT,19,196,102,7033.058,saturated
Live Haskell,FEAT,FEAT,20,151,129,5693.588,saturated
Live Haskell,FEAT,FEAT,21,125,107,5429.928999999999,saturated
Live Haskell,FEAT,FEAT,22,168,158,8960.52,saturated
Live Haskell,FEAT,FEAT,23,155,117,2908.0879999999997,saturated
Live Haskell,FEAT,FEAT,24,170,152,3797.662,saturated
Live Haskell,FEAT,FEAT,25,138,122,4579.621999999999,saturated
Live Haskell,FEAT,FEAT,26,179,165,4903.648999999999,saturated
Live Haskell,FEAT,FEAT,27,133,105,5060.751,saturated
Live Haskell,FEAT,FEAT,28,186,142,3299.164,saturated
Live Haskell,FEAT,FEAT,29,165,135,3724.513,saturated
Live Haskell,FEAT,FEAT,30,131,113,8674.763,saturated
Live Haskell,SBP,SBP,1,1,1,0.357,saturated
Live Haskell,SBP,SBP,2,30,26,1623.767,saturated
Live Haskell,SBP,SBP,3,28,26,1827.426,saturated
Live Haskell,SBP,SBP,4,10,10,3.0149999999999997,saturated
Live Haskell,SBP,SBP,5,31,29,3025.396,saturated
Live Haskell,SBP,SBP,6,1,1,0.367,saturated
Live Haskell,SBP,SBP,7,28,24,1012.72,saturated
Live Haskell,SBP,SBP,8,29,27,21.676000000000002,saturated
Live Haskell,SBP,SBP,9,29,25,528.854,saturated
Live Haskell,SBP,SBP,10,28,28,2671.439,saturated
Live Haskell,SBP,SBP,11,29,23,1527.794,saturated
Live Haskell,SBP,SBP,12,29,29,2537.798,saturated
Live Haskell,SBP,SBP,13,29,27,1065.06,saturated
Live Haskell,SBP,SBP,14,26,26,20.739,saturated
Live Haskell,SBP,SBP,15,29,27,1154.155,saturated
Live Haskell,SBP,SBP,16,26,26,438.303,saturated
Live Haskell,SBP,SBP,17,29,29,1693.189,saturated
Live Haskell,SBP,SBP,18,27,21,288.389,saturated
Live Haskell,SBP,SBP,19,28,28,12.546,saturated
Live Haskell,SBP,SBP,20,28,22,1098.771,saturated
Live Haskell,SBP,SBP,21,28,28,23.990000000000002,saturated
Live Haskell,SBP,SBP,22,31,29,1598.17,saturated
Live Haskell,SBP,SBP,23,29,29,667.135,saturated
Live Haskell,SBP,SBP,24,27,25,310.47,saturated
Live Haskell,FEAT,FEAT,1,217,185,4700.094,saturated
Live Haskell,FEAT,FEAT,2,116,114,8964.145,saturated
Live Haskell,FEAT,FEAT,3,194,160,4662.339,saturated
Live Haskell,FEAT,FEAT,4,142,110,6398.497,saturated
Live Haskell,FEAT,FEAT,5,269,231,7446.367,saturated
Live Haskell,FEAT,FEAT,6,191,163,4022.83,saturated
Live Haskell,FEAT,FEAT,7,191,157,8780.519999999999,saturated
Live Haskell,FEAT,FEAT,8,241,203,4747.16,saturated
Live Haskell,FEAT,FEAT,9,202,170,3436.1000000000004,saturated
Live Haskell,FEAT,FEAT,10,223,181,3742.037,saturated
Live Haskell,FEAT,FEAT,11,357,275,4493.65,saturated
Live Haskell,FEAT,FEAT,12,154,136,7617.788,saturated
Live Haskell,FEAT,FEAT,13,134,130,4183.656,saturated
Live Haskell,FEAT,FEAT,14,184,159,3993.773,saturated
Live Haskell,FEAT,FEAT,15,416,279,5598.429,saturated
Live Haskell,FEAT,FEAT,16,129,113,5647.898999999999,saturated
Live Haskell,FEAT,FEAT,17,174,114,2735.3360000000002,saturated
Live Haskell,FEAT,FEAT,18,160,144,5508.09,saturated
Live Haskell,SBP,SBP,25,29,29,136.163,saturated
Live Haskell,SBP,SBP,26,28,28,25.141000000000002,saturated
Live Haskell,SBP,SBP,27,27,25,110.67699999999999,saturated
Live Haskell,SBP,SBP,28,28,28,1928.367,saturated
Live Haskell,SBP,SBP,29,28,28,491.417,saturated
Live Haskell,SBP,SBP,30,28,26,132.452,saturated
Live Haskell,Bingo,Bingo,1,43,34,161.226,saturated
Live Haskell,Bingo,Bingo,2,23,19,137.132,saturated
Live Haskell,Bingo,Bingo,3,27,23,14.467,saturated
Live Haskell,Bingo,Bingo,4,49,40,185.827,saturated
Live Haskell,Bingo,Bingo,5,23,22,12.401,saturated
Live Haskell,Bingo,Bingo,6,53,43,191.67999999999998,saturated
Live Haskell,Bingo,Bingo,7,21,19,38.735,saturated
Live Haskell,Bingo,Bingo,8,20,20,1575.9479999999999,saturated
Live Haskell,Bingo,Bingo,9,31,27,568.3009999999999,saturated
Live Haskell,Bingo,Bingo,10,25,23,23.323,saturated
Live Haskell,Bingo,Bingo,11,24,22,2470.504,saturated
Live Haskell,Bingo,Bingo,12,15,13,1212.757,saturated
Live Haskell,Bingo,Bingo,13,33,29,32.252,saturated
Live Haskell,Bingo,Bingo,14,29,25,3188.18,saturated
Live Haskell,Bingo,Bingo,15,45,39,213.452,saturated
Live Haskell,Bingo,Bingo,16,47,42,1060.12,saturated
Live Haskell,Bingo,Bingo,17,49,36,868.6930000000001,saturated
Live Haskell,Bingo,Bingo,18,23,21,26.939999999999998,saturated
Live Haskell,Bingo,Bingo,19,25,23,57.342999999999996,saturated
Live Haskell,Bingo,Bingo,20,39,32,340.452,saturated
Live Haskell,Bingo,Bingo,21,43,33,267.963,saturated
Live Haskell,Bingo,Bingo,22,27,27,28.387,saturated
Live Haskell,Bingo,Bingo,23,27,23,1995.568,saturated
Live Haskell,Bingo,Bingo,24,29,21,39.910000000000004,saturated
Live Haskell,Bingo,Bingo,25,20,17,27.237000000000002,saturated
Live Haskell,Bingo,Bingo,26,16,16,4.484,saturated
Live Haskell,Bingo,Bingo,27,53,45,827.724,saturated
Live Haskell,Bingo,Bingo,28,41,37,133.738,saturated
Live Haskell,Bingo,Bingo,29,17,16,4.229,saturated
Live Haskell,Bingo,Bingo,30,27,25,54.53,saturated
Live Haskell,SRjl,PySR,19,42,36,1611.8809999999999,saturated
Live Haskell,SRjl,PySR,20,39,23,1505.0300000000002,saturated
Live Haskell,SRjl,PySR,21,33,23,1038.8690000000001,saturated
Live Haskell,SRjl,PySR,22,31,21,1360.3590000000002,saturated
Live Haskell,SRjl,PySR,23,39,19,1208.911,saturated
Live Haskell,SRjl,PySR,24,28,26,281.008,saturated
Live Haskell,SRjl,PySR,25,41,27,1574.154,saturated
Live Haskell,SRjl,PySR,26,45,39,542.3280000000001,saturated
Live Haskell,SRjl,PySR,27,42,34,1072.959,saturated
Live Haskell,SRjl,PySR,28,44,36,1363.402,saturated
Live Haskell,SRjl,PySR,29,35,29,249.337,saturated
Live Haskell,SRjl,PySR,30,28,26,27.695999999999998,saturated
Live Haskell,SRjl,PySR,1,46,34,1538.615,saturated
Live Haskell,SRjl,PySR,2,39,37,1534.084,saturated
Live Haskell,SRjl,PySR,3,35,31,57.991,saturated
Live Haskell,SRjl,PySR,4,41,31,2544.34,saturated
Live Haskell,SRjl,PySR,5,42,36,300.829,saturated
Live Haskell,SRjl,PySR,6,33,29,4011.863,saturated
Live Haskell,SRjl,PySR,7,28,24,574.1899999999999,saturated
Live Haskell,SRjl,PySR,8,39,31,3375.787,saturated
Live Haskell,SRjl,PySR,9,37,27,1667.841,saturated
Live Haskell,SRjl,PySR,10,38,30,703.514,saturated
Live Haskell,SRjl,PySR,11,33,27,42.230999999999995,saturated
Live Haskell,SRjl,PySR,12,41,33,2879.2219999999998,saturated
Live Haskell,SRjl,PySR,13,44,34,2146.1960000000004,saturated
Live Haskell,SRjl,PySR,14,43,37,660.914,saturated
Live Haskell,SRjl,PySR,15,41,35,1172.102,saturated
Live Haskell,SRjl,PySR,16,34,30,827.414,saturated
Live Haskell,SRjl,PySR,17,42,42,107.308,saturated
Live Haskell,SRjl,PySR,18,47,34,2381.748,saturated
Egglog,Operon,Operon,1,39,31,105.838791,saturated
Egglog,Operon,Operon,3,45,33,156.246958,saturated
Egglog,Operon,Operon,4,47,37,153.747166,saturated
Egglog,Operon,Operon,5,49,37,117.175500,saturated
Egglog,Operon,Operon,7,44,36,63.928250,saturated
Egglog,Operon,Operon,8,49,39,91.700291,saturated
Egglog,Operon,Operon,9,45,33,130.759417,saturated
Egglog,Operon,Operon,6,45,35,450.486458,saturated
Egglog,Operon,Operon,2,48,34,906.358708,saturated
Egglog,Operon,Operon,13,41,35,60.785208,saturated
Egglog,Operon,Operon,14,47,37,71.381083,saturated
Egglog,Operon,Operon,12,48,32,567.433833,saturated
Egglog,Operon,Operon,10,45,33,1269.690666,saturated
Egglog,Operon,Operon,17,45,37,141.148583,saturated
Egglog,Operon,Operon,16,50,36,779.861833,saturated
Egglog,Operon,Operon,19,41,35,59.188458,saturated
Egglog,Operon,Operon,15,45,29,1878.312667,saturated
Egglog,Operon,Operon,21,45,37,534.792500,saturated
Egglog,Operon,Operon,22,43,34,94.886291,saturated
Egglog,Operon,Operon,11,41,31,3208.953875,saturated
Egglog,Operon,Operon,24,41,33,73.659583,saturated
Egglog,Operon,Operon,23,45,37,97.936416,saturated
Egglog,Operon,Operon,25,45,33,156.988084,saturated
Egglog,Operon,Operon,26,41,33,217.740792,saturated
Egglog,Operon,Operon,28,45,33,133.859958,saturated
Egglog,Operon,Operon,29,45,33,139.886583,saturated
Egglog,Operon,Operon,30,45,33,83.274250,saturated
Egglog,GOMEA,GP-GOMEA,1,20,17,50.160667,saturated
Egglog,GOMEA,GP-GOMEA,2,20,17,49.523917,saturated
Egglog,GOMEA,GP-GOMEA,3,21,17,43.315083,saturated
Egglog,GOMEA,GP-GOMEA,4,20,17,49.965542,saturated
Egglog,GOMEA,GP-GOMEA,5,21,17,50.728333,saturated
Egglog,GOMEA,GP-GOMEA,6,18,17,42.698833,saturated
